FID,OBJECTID,NAME,EASTING,NORTHING,LINES,NETWORK,Zone,x,y,Station,Accessibility1.8
6,84,Aldgate,533613,181262,"Metropolitan, Circle",London Underground,1,-0.0742363,51.51398203,Aldgate,105.29067955150505
61,249,Aldgate East,533936,181375,"Hammersmith & City, District",London Underground,1,-0.069540402,51.51491653,Aldgate East,96.11435073055983
59,331,Angel,531561,183100,Northern,London Underground,1,-0.103116359,51.5309796,Angel,32.82219806530994
14,92,Baker Street,527955,182064,"Metropolitan, Bakerloo, Circle, Jubilee, Hammersmith & City",London Underground,1,-0.155454387,51.52249387,Baker Street,113.49946257675168
35,47,Bank,532710,181120,"Waterloo & City, Northern, Central",London Underground,1,-0.08729695,51.51291511,Bank,195.90341615228778
9,87,Barbican,532004,181856,"Metropolitan, Circle, Hammersmith & City",London Underground,1,-0.097189673,51.51969921,Barbican,80.1644613455796
17,95,Bayswater,525843,180823,"District, Circle",London Underground,1,-0.186322701,51.51181507,Bayswater,35.66201861238408
1,79,Blackfriars,531694,180893,"District, Circle",London Underground,1,-0.102020251,51.51111447,Blackfriars,117.22412546553856
34,42,Bond Street,528491,181118,"Central, Jubilee",London Underground,1,-0.148076884,51.51387033,Bond Street,50.83249233449312
57,329,Borough,532440,179751,Northern,London Underground,1,-0.091702818,51.50067969,Borough,33.82902926900585
3,81,Cannon Street,532611,180900,"District, Circle",London Underground,1,-0.088801035,51.51096254,Cannon Street,227.53782869812602
38,50,Chancery Lane,531124,181615,Central,London Underground,1,-0.109960547,51.5177395,Chancery Lane,52.514370619466284
48,229,Charing Cross,530058,180378,"Bakerloo, Northern",London Underground,1,-0.125777173,51.50686754,Charing Cross,141.09461934345276
28,17,Covent Garden,530251,181025,Piccadilly,London Underground,1,-0.122759938,51.51263471,Covent Garden,219.03329134765656
30,37,Earl's Court,525534,178552,"District, Piccadilly",London Underground,1,-0.19157701,51.4914734,Earl's Court,22.1345409817306
50,233,Edgware Road (Bakerloo),527047,181759,Bakerloo,London Underground,1,-0.168645951,51.51996099,Edgware Road (Bakerloo),39.4080323478693
41,77,Embankment,530419,180396,"District, Bakerloo, Northern, Circle",London Underground,1,-0.120562428,51.50694137,Embankment,148.45659108656503
43,197,Euston,529498,182668,"Northern, Victoria",London Underground,1,-0.132992071,51.52757668,Euston,118.02555667579855
12,90,Euston Square,529417,182393,"Metropolitan, Circle, Hammersmith & City",London Underground,1,-0.134270582,51.52512499,Euston Square,148.9804698743169
10,88,Farringdon,531560,181874,"Metropolitan, Circle, Hammersmith & City",London Underground,1,-0.103582415,51.51996102,Farringdon,50.14676464878864
