id,lat,lng,accessible,babyChange
997e2de0b33074fec255f7ff,51.49749813,-0.237241387,False,False
cdc9cab46fbade7897f74c60,51.509954926,-0.222263988,True,True
8b10dfd8f0ec78ce8bf485c1,51.513211959,-0.227208008,True,True
b16689dfd7126ff0facf1ff4,51.513466058,-0.227750828,True,False
7aa34dfa75cbaebbea4d6d43,51.49215902,-0.223889351,True,True
d0fa65c669570e14c90e81dc,51.467655184,-0.186805129,False,False
d24b1ab9dcc76bd69c1d7513,51.492781835,-0.225375295,True,True
73540b25f29c84a16e8fd8ad,51.513964024,-0.227140188,True,False
cb92afde0b7ac9483e5d9639,51.492486615,-0.227115471,False,False
36d7057fd31488fc200bb8ad,51.511973,-0.2244689,False,True
d0915e12f9306db2a65cbe1d,51.50336224,-0.219461919,True,False
e3cd4437fc2ce65751d6fba8,51.529651828,-0.229049921,True,False
a1f13d3d736fa0c447ab43b7,51.527916422,-0.231013298,False,False
010c036838cfcca98662d35c,51.493401484,-0.227985084,True,True
7d70d0983fff5c1def15e0ed,51.480549361,-0.195227265,True,False
80283d96721d3e79ea63ef8f,51.497808285,-0.210242271,False,True
97b1d4fef44cc483eead72f6,51.487083603,-0.220509768,False,False
a01dc5fe4f2537ae2aa7b248,51.504909369,-0.218444467,False,False
4a5b460f524feda35ed708d9,51.472008,-0.217745,False,True
d7e4f05eebcb9e6c15adbd1f,51.497512731,-0.22390008,True,True
aadf1951de03c0447f5ee929,51.5044411,-0.2246025,False,False
b8579fc3f6fd813bb6030324,51.4833069,-0.2190457,False,False
90c02e77ee0bf2501ad4b249,51.4812706,-0.1893213,False,False
717915db1407696a7aeca883,51.507517107,-0.221137404,False,False
2efb8d147e3ce1d6fe073847,51.4930573,-0.2283029,False,False
