FID,OBJECTID,NAME,EASTING,NORTHING,LINES,NETWORK,Zone,x,y,Station,Accessibility2
6,84,Aldgate,533613,181262,"Metropolitan, Circle",London Underground,1,-0.0742363,51.51398203,Aldgate,128.55723038051596
61,249,Aldgate East,533936,181375,"Hammersmith & City, District",London Underground,1,-0.069540402,51.51491653,Aldgate East,117.05684076402345
59,331,Angel,531561,183100,Northern,London Underground,1,-0.103116359,51.5309796,Angel,28.389402019479984
14,92,Baker Street,527955,182064,"Metropolitan, Bakerloo, Circle, Jubilee, Hammersmith & City",London Underground,1,-0.155454387,51.52249387,Baker Street,152.47770733194722
35,47,Bank,532710,181120,"Waterloo & City, Northern, Central",London Underground,1,-0.08729695,51.51291511,Bank,261.7700139012697
9,87,Barbican,532004,181856,"Metropolitan, Circle, Hammersmith & City",London Underground,1,-0.097189673,51.51969921,Barbican,87.31953784689736
17,95,Bayswater,525843,180823,"District, Circle",London Underground,1,-0.186322701,51.51181507,Bayswater,33.45485343590889
1,79,Blackfriars,531694,180893,"District, Circle",London Underground,1,-0.102020251,51.51111447,Blackfriars,142.76867530453623
34,42,Bond Street,528491,181118,"Central, Jubilee",London Underground,1,-0.148076884,51.51387033,Bond Street,48.64113502951232
57,329,Borough,532440,179751,Northern,London Underground,1,-0.091702818,51.50067969,Borough,28.528018965845977
3,81,Cannon Street,532611,180900,"District, Circle",London Underground,1,-0.088801035,51.51096254,Cannon Street,318.56097477781856
38,50,Chancery Lane,531124,181615,Central,London Underground,1,-0.109960547,51.5177395,Chancery Lane,48.829647961800546
48,229,Charing Cross,530058,180378,"Bakerloo, Northern",London Underground,1,-0.125777173,51.50686754,Charing Cross,166.05944480753794
28,17,Covent Garden,530251,181025,Piccadilly,London Underground,1,-0.122759938,51.51263471,Covent Garden,311.756432921652
30,37,Earl's Court,525534,178552,"District, Piccadilly",London Underground,1,-0.19157701,51.4914734,Earl's Court,17.964266245871347
